Name	Version	Format	LastModified	Size	Nodes	Edges	ConnectedComponents	Singletons	MaxNodeDegree	MeanNodeDegree
fypo	2021-10-05	JSON	2021-10-22 16:10:02+00:00	831135	15726	15830	(2113, 1, 13614)	2112	235	2.01
gaz	no_version	TSV	2021-10-22 18:41:33+00:00	26413058	669900	22652	(652680, 1, 7121)	652141	1453	0.07
gaz	no_version	JSON	2021-10-22 18:41:33+00:00	3208537	669900	22652	(652680, 1, 7121)	652141	1453	0.07
gecko	2021-01-18	TSV	2021-10-02 01:54:44+00:00	16111	173	153	(22, 1, 95)	17	20	1.77
gecko	2021-01-18	JSON	2021-10-02 01:54:44+00:00	160439	173	153	(22, 1, 95)	17	20	1.77
genepio	2021-05-24	TSV	2021-10-15 03:37:15+00:00	625787	6185	11792	(733, 1, 5400)	723	972	3.81
genepio	2021-05-24	JSON	2021-10-15 03:37:14+00:00	7564979	6185	11792	(733, 1, 5400)	723	972	3.81
geno	2020-03-08	TSV	2021-10-02 01:54:53+00:00	80186	571	613	(111, 1, 388)	96	46	2.15
geno	2020-03-08	JSON	2021-10-02 01:54:52+00:00	662713	571	613	(111, 1, 388)	96	46	2.15
geo	release	TSV	2021-10-15 03:37:30+00:00	36795	212	281	(45, 1, 163)	41	45	2.65
geo	release	JSON	2021-10-15 03:37:30+00:00	336697	212	281	(45, 1, 163)	41	45	2.65
gno	2021-08-13	TSV	2021-10-07 20:14:43+00:00	12293225	315403	587057	(7791, 1, 307609)	7787	44985	3.59
gno	2021-08-13	JSON	2021-10-07 20:14:38+00:00	351452648	315403	587057	(7791, 1, 307609)	7787	44985	3.59
gno	release	TSV	2021-10-02 02:18:10+00:00	12295474	315403	587057	(7791, 1, 307609)	7787	44985	3.59
gno	release	JSON	2021-10-02 02:18:03+00:00	351187664	315403	587057	(7791, 1, 307609)	7787	44985	3.59
go	2021-10-26	TSV	2021-11-01 10:04:04+00:00	6676904	54717	103749	(3383, 1, 51314)	3370	9530	3.79
go	2021-10-26	JSON	2021-11-01 10:04:05+00:00	87770728	54717	103749	(3383, 1, 51314)	3370	9530	3.79
go	2021-09-01	TSV	2021-10-07 17:28:09+00:00	5462605	54696	56394	(18842, 1, 35110)	18354	3462	2.06
go	2021-09-01	JSON	2021-10-07 17:28:10+00:00	65304281	54696	56394	(18842, 1, 35110)	18354	3462	2.06
gsso	2.0.5	TSV	2021-10-22 17:34:07+00:00	1799081	14579	23023	(1126, 1, 13231)	1039	422	3.16
gsso	2.0.5	JSON	2021-10-22 17:34:06+00:00	271036	14579	23023	(1126, 1, 13231)	1039	422	3.16
hancestro	2020-12-18	TSV	2021-10-02 02:18:23+00:00	34023	611	1163	(21, 1, 586)	15	242	3.81
hancestro	2020-12-18	JSON	2021-10-02 02:18:22+00:00	693074	611	1163	(21, 1, 586)	15	242	3.81
hao	release	TSV	2021-10-02 02:19:07+00:00	196349	5335	4846	(2883, 1, 2451)	2880	334	1.82
hao	release	JSON	2021-10-02 02:19:08+00:00	3947264	5335	4846	(2883, 1, 2451)	2880	334	1.82
hao	release	TSV	2021-10-02 02:19:07+00:00	196349	5335	4846	(2883, 1, 2451)	2880	334	1.82
hao	release	JSON	2021-10-02 02:19:08+00:00	3947264	5335	4846	(2883, 1, 2451)	2880	334	1.82
hom	2015-01-07	TSV	2021-10-25 20:38:28+00:00	5431	86	84	(21, 1, 65)	19	14	1.95
hom	2015-01-07	JSON	2021-10-25 20:38:29+00:00	76666	86	84	(21, 1, 65)	19	14	1.95
hp	2021-10-10	TSV	2021-10-11 15:49:19+00:00	1891775	18816	21884	(2508, 1, 16304)	2506	840	2.33
hp	2021-10-10	JSON	2021-10-11 15:49:17+00:00	21551903	18816	21884	(2508, 1, 16304)	2506	840	2.33
hp	2021-08-02	TSV	2021-10-02 09:20:27+00:00	1884738	18743	21817	(2489, 1, 16250)	2487	840	2.33
hp	2021-08-02	JSON	2021-10-02 09:20:25+00:00	21508222	18743	21817	(2489, 1, 16250)	2487	840	2.33
hsapdv	2020-03-10	TSV	2021-10-02 02:19:22+00:00	27730	348	965	(32, 1, 308)	26	242	5.55
hsapdv	2020-03-10	JSON	2021-10-02 02:19:22+00:00	583246	348	965	(32, 1, 308)	26	242	5.55
hso	2020-11-28	TSV	2021-10-02 02:19:34+00:00	121581	1240	1955	(265, 1, 961)	259	201	3.15
hso	2020-11-28	JSON	2021-10-02 02:19:34+00:00	1398362	1240	1955	(265, 1, 961)	259	201	3.15
htn	release	TSV	2021-10-02 02:19:46+00:00	132322	1113	1892	(91, 1, 997)	79	171	3.40
htn	release	JSON	2021-10-02 02:19:45+00:00	1493602	1113	1892	(91, 1, 997)	79	171	3.40
